2025-08-31 22:53:11.884 | INFO     | obscam.common.logging_config:setup_logging:71 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-31 22:53:11.884 | INFO     | obscam:main:20 | {'module': 'main'} | Starting ObsCam with debug_mode=False
2025-08-31 22:53:11.993 | INFO     | obscam.core.camera_factory:get_backend_service:48 | {'module': 'camera_factory'} | Using ZWO ASI camera implementation (production mode)
2025-08-31 22:53:12.018 | ERROR    | obscam:main:33 | {'module': 'main'} | Unexpected error: Failed to initialize ZWO ASI SDK: ZWO ASI SDK library not found. Set ZWO_ASI_LIB environment variable or provide library_path
2025-08-31 22:53:12.025 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:12.250 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:12.473 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:12.697 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:12.923 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:13.148 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:13.371 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:13.595 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:13.820 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:14.045 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:14.270 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:14.496 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:14.722 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:14.945 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:15.171 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:15.396 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:15.618 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:15.839 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:16.064 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:16.287 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:16.381 | INFO     | obscam.common.logging_config:setup_logging:71 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-31 22:53:16.381 | INFO     | obscam:main:20 | {'module': 'main'} | Starting ObsCam with debug_mode=False
2025-08-31 22:53:16.486 | INFO     | obscam.core.camera_factory:get_backend_service:43 | {'module': 'camera_factory'} | Using gphoto2 camera implementation (development mode)
2025-08-31 22:53:16.498 | INFO     | obscam.core.capture_loop:__init__:31 | {'module': 'capture_loop'} | Capture loop initialized
2025-08-31 22:53:16.498 | INFO     | obscam.storage.settings_manager:__init__:30 | {'module': 'settings_manager', 'settings_file': '/tmp/obscam/obscam_settings.json'} | Settings manager initialized
2025-08-31 22:53:16.498 | INFO     | obscam.core.backend_service:__init__:42 | {'module': 'backend_service', 'camera_type': 'Gphoto2Camera', 'cache_dir': '/tmp/obscam'} | Backend service initialized
2025-08-31 22:53:16.498 | INFO     | obscam.core.camera_factory:get_backend_service:54 | {'module': 'camera_factory', 'cache_dir': '/tmp/obscam'} | Backend service created
2025-08-31 22:53:16.498 | INFO     | obscam.api.main:start_server:555 | {'module': 'api_main'} | Starting backend service...
2025-08-31 22:53:16.498 | INFO     | obscam.core.backend_service:start_backend:54 | {'module': 'backend_service'} | Starting camera backend service
2025-08-31 22:53:16.499 | INFO     | obscam.storage.settings_manager:start:44 | {'module': 'settings_manager'} | Settings save worker started
2025-08-31 22:53:16.509 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:16.618 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'connected', 'camera_status': {'status': 'connected', 'camera_model': 'Nikon Zf (via gphoto2)', 'is_color_camera': True, 'current_exposure_ms': 200.0, 'current_gain': 100, 'image_format': 'color', 'shutter_mode': 'Bulb'}} | Camera event
2025-08-31 22:53:16.618 | INFO     | obscam.storage.settings_manager:load_settings:62 | {'module': 'settings_manager', 'settings': {'exposure_ms': 200.0, 'gain': 100, 'wb_r': 100, 'wb_b': 100, 'image_format': 'color', 'timestamp': 1756676767.197595}} | Settings loaded successfully
2025-08-31 22:53:16.619 | INFO     | obscam.core.backend_service:start_backend:72 | {'module': 'backend_service', 'settings': {'exposure_ms': 200.0, 'gain': 100, 'wb_r': 100, 'wb_b': 100, 'image_format': 'color', 'timestamp': 1756676767.197595}} | Applying cached settings
2025-08-31 22:53:16.621 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'settings_applied', 'settings': {'exposure_ms': 200.0, 'gain': 100, 'wb_r': 100, 'wb_b': 100, 'image_format': 'color', 'timestamp': 1756676767.197595}} | Camera event
2025-08-31 22:53:16.623 | INFO     | obscam.core.capture_loop:_capture_worker:107 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-31 22:53:16.623 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-31 22:53:16.623 | INFO     | obscam.core.backend_service:start_backend:87 | {'module': 'backend_service'} | Backend service started successfully
2025-08-31 22:53:16.623 | INFO     | obscam.common.logging_config:log_camera_event:114 | {'event_type': 'backend_started', 'status': {'backend_service': 'running', 'continuous_capture': True, 'has_frame': False, 'status': 'connected', 'camera_model': 'Nikon Zf (via gphoto2)', 'is_color_camera': True, 'current_exposure_ms': 200.0, 'current_gain': 100, 'image_format': 'color', 'shutter_mode': 'Unknown'}} | Camera event
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:557 | {'module': 'api_main'} | Backend service started successfully!
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:558 | {'module': 'api_main'} | Available endpoints:
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:559 | {'module': 'api_main'} |   - Main page: http://localhost:8000/
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:560 | {'module': 'api_main'} |   - Latest frame: http://localhost:8000/api/latest-frame
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:561 | {'module': 'api_main'} |   - Update settings: POST http://localhost:8000/api/update-settings
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:564 | {'module': 'api_main'} |   - Status: http://localhost:8000/api/status
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:569 | {'module': 'api_main'} | Starting web server on port 8000...
2025-08-31 22:53:16.623 | INFO     | obscam.api.main:start_server:570 | {'module': 'api_main'} | Press Ctrl+C to shut down gracefully
2025-08-31 22:53:16.631 | INFO     | obscam.api.main:shutdown:56 | {'module': 'api_main'} | FastAPI shutdown event triggered
2025-08-31 22:53:16.734 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:16.961 | WARNING  | obscam.core.capture_loop:_capture_worker:168 | {'module': 'capture_loop'} | Frame capture returned no data
2025-08-31 22:53:17.132 | INFO     | obscam.api.main:shutdown:60 | {'module': 'api_main'} | FastAPI shutdown cleanup completed
2025-08-31 22:53:17.132 | INFO     | obscam.api.main:start_server:576 | {'module': 'api_main'} | Shutting down backend service...
2025-08-31 22:53:17.133 | INFO     | obscam.core.backend_service:shutdown_gracefully:240 | {'module': 'backend_service'} | Performing graceful shutdown of backend service
