2025-08-23 17:48:47.198 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:23:42.183 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:30:07.044 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:34:10.668 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:36:39.486 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:37:10.427 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:37:49.493 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:46:45.846 | INFO     | obscam.logging_config:setup_logging:73 | {'log_dir': '/Users/gheadley/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-24 18:55:33.685 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 00:32:52.586 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 00:33:05.504 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 01:32:31.478 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 12:46:24.997 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 14:25:24.269 | INFO     | obscam.logging_config:setup_logging:66 | {'log_dir': '/Users/gheadley/nas/develop/python/obscam/logs', 'debug_mode': False, 'console_level': 'INFO'} | Logging initialized
2025-08-25 14:25:24.269 | INFO     | obscam.web:start_web_servers:276 | {'module': 'web_server'} | Starting backend service...
2025-08-25 14:25:24.269 | INFO     | obscam.backend_service:start_backend:56 | {'module': 'backend_service'} | Starting camera backend service
2025-08-25 14:25:24.269 | INFO     | obscam.settings_manager:start:44 | {'module': 'settings_manager'} | Settings save worker started
2025-08-25 14:25:24.269 | INFO     | obscam.frame_cache:start:40 | {'module': 'frame_cache'} | Frame cache writer started
2025-08-25 14:25:24.434 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'connected', 'camera_status': {'status': 'connected', 'camera_model': 'Nikon Zf (via gphoto2)', 'is_color_camera': True, 'current_exposure_ms': 200.0, 'current_gain': 100, 'shutter_mode': 'Bulb'}} | Camera event
2025-08-25 14:25:24.435 | INFO     | obscam.settings_manager:load_settings:62 | {'module': 'settings_manager', 'settings': {'exposure_ms': 250.0, 'gain': 100, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756127648.26571}} | Settings loaded successfully
2025-08-25 14:25:24.435 | INFO     | obscam.backend_service:start_backend:75 | {'module': 'backend_service', 'settings': {'exposure_ms': 250.0, 'gain': 100, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756127648.26571}} | Applying cached settings
2025-08-25 14:25:24.437 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_applied', 'settings': {'exposure_ms': 250.0, 'gain': 100, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756127648.26571}} | Camera event
2025-08-25 14:25:24.439 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:24.439 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:24.439 | INFO     | obscam.backend_service:start_backend:90 | {'module': 'backend_service'} | Backend service started successfully
2025-08-25 14:25:24.439 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'backend_started', 'status': {'backend_service': 'running', 'continuous_capture': True, 'has_frame': False, 'status': 'connected', 'camera_model': 'Nikon Zf (via gphoto2)', 'is_color_camera': True, 'current_exposure_ms': 250.0, 'current_gain': 100, 'shutter_mode': 'Unknown', 'has_cached_frame': True}} | Camera event
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:278 | {'module': 'web_server'} | Backend service started successfully!
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:279 | {'module': 'web_server'} | Available endpoints:
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:280 | {'module': 'web_server'} |   - Latest frame: http://localhost:8000/api/latest-frame
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:283 | {'module': 'web_server'} |   - Update settings: POST http://localhost:8000/api/update-settings
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:286 | {'module': 'web_server'} |   - Status: http://localhost:8000/api/status
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:297 | {'module': 'web_server'} | Starting web servers...
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:298 | {'module': 'web_server'} | Flask (web pages): http://localhost:5001
2025-08-25 14:25:24.439 | INFO     | obscam.web:start_web_servers:299 | {'module': 'web_server'} | FastAPI (API): http://localhost:8000
2025-08-25 14:25:28.934 | INFO     | obscam.backend_service:start_backend:53 | {'module': 'backend_service'} | Backend service already started
2025-08-25 14:25:33.200 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
2025-08-25 14:25:34.312 | INFO     | obscam.capture_loop:_capture_worker:204 | {'module': 'capture_loop', 'final_frame_count': 8} | Capture loop thread ended
2025-08-25 14:25:34.313 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_stopped'} | Camera event
2025-08-25 14:25:34.542 | INFO     | obscam.capture_loop:_capture_worker:102 | {'module': 'capture_loop'} | Capture loop thread started
2025-08-25 14:25:34.542 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'capture_loop_started'} | Camera event
2025-08-25 14:25:34.543 | INFO     | obscam.logging_config:log_camera_event:109 | {'event_type': 'settings_updated', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Camera event
2025-08-25 14:25:34.544 | INFO     | obscam.backend_service:update_settings:197 | {'module': 'backend_service', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings updated successfully
2025-08-25 14:25:34.546 | INFO     | obscam.settings_manager:_save_settings_to_disk:125 | {'module': 'settings_manager', 'settings': {'exposure_ms': 300.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120, 'timestamp': 1756128324.2601259}} | Settings saved successfully
2025-08-25 14:25:34.548 | INFO     | obscam.backend_service:update_settings:168 | {'module': 'backend_service', 'new_settings': {'exposure_ms': 500.0, 'gain': 250, 'wb_r': 75, 'wb_b': 120}} | Updating camera settings
